date,modal_price,arrivals_mt,price_lag_1,price_lag_3,price_lag_7,price_lag_14,price_lag_30,price_lag_60,rolling_mean_7,rolling_mean_14,rolling_std_7,weekly_arrival_change,day_of_week,month,quarter
2026-01-06,3780.221476510067,50.90825503355705,3752.3221476510066,3806.40404040404,3864.2741304347824,3763.904109589041,3735.5625,3577.2023809523807,3781.137815613508,3777.087270114415,22.12925576999577,-0.017634298690353267,1,1,1
2026-01-07,3786.698717948718,61.602051282051285,3780.221476510067,3762.816091954023,3764.5945945945946,3759.992424242424,3822.6736111111113,3779.607843137255,3784.29554752124,3778.9948625220068,20.919171203693832,-0.051688614802560595,2,1,1
2026-01-08,3844.222972972973,88.83162162162162,3786.698717948718,3752.3221476510066,3794.2517482517483,3782.135922330097,3725.542857142857,3651.1666666666665,3791.434293909987,3783.4296518536407,30.9868489076783,0.2821986861891417,3,1,1
2026-01-09,3722.051948051948,74.29532467532468,3844.222972972973,3780.221476510067,3807.354609929078,3761.394557823129,3822.7843137254904,3736.808510638298,3779.248199356111,3780.619465441414,39.332039489980694,0.09380352827643601,4,1,1
2026-01-10,3876.0309278350514,39.673092783505155,3722.051948051948,3786.698717948718,3806.40404040404,3710.962962962963,3694.1942446043167,3709.2894736842104,3789.194897560541,3792.410034360849,53.57075566523561,-0.14446241089495382,5,1,1
2026-01-11,3576.2337662337663,37.513116883116886,3876.0309278350514,3844.222972972973,3762.816091954023,3776.7051282051284,3689.4714285714285,3748.879518072289,3762.540279600504,3778.0906513628943,97.3843558927297,-0.05045833549180878,6,1,1
2026-01-12,3804.9054054054054,61.69459459459459,3576.2337662337663,3722.051948051948,3752.3221476510066,3755.7919463087246,3952.027777777778,3738.230769230769,3770.0521735654183,3781.598755584085,98.48660690943207,-0.12956043892767133,0,1,1
2026-01-13,3762.529411764706,69.02660130718954,3804.9054054054054,3876.0309278350514,3780.221476510067,3864.2741304347824,3724.2804878048782,3794.200448717949,3767.524735744653,3774.33127567908,98.40912226716529,0.35590193106578627,1,1,1
2026-01-14,3834.5123966942147,50.959669421487604,3762.529411764706,3576.2337662337663,3786.698717948718,3764.5945945945946,3818.0653594771243,3810.3083333333334,3774.3552612797234,3779.325404400482,101.57037350584254,-0.17276018637490576,2,1,1
2026-01-15,3832.9903846153848,29.473461538461542,3834.5123966942147,3804.9054054054054,3844.222972972973,3794.2517482517483,3848.767741935484,3906.178082191781,3772.750605800068,3782.092449855027,100.36417086588276,-0.6682097996138832,3,1,1
2026-01-16,3901.726666666667,54.08942028985507,3832.9903846153848,3762.529411764706,3722.051948051948,3807.354609929078,3887.391891891892,3766.08,3798.418422745028,3788.8333110505696,107.92776392394781,-0.2719673744447676,4,1,1
